origin,h,target,model,ttf_eur_mwh,status,mapping
2019-02,0,2019-02,GAS_SPOT,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,4,2019-06,GAS_ANNUAL,17.678585228342023,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,5,2019-07,GAS_ANNUAL,17.905319001546964,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,6,2019-08,GAS_ANNUAL,18.13496071128912,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,7,2019-09,GAS_ANNUAL,18.36754765282797,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,8,2019-10,GAS_ANNUAL,18.603117599747183,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,9,2019-11,GAS_ANNUAL,18.841708810089276,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,10,2019-12,GAS_ANNUAL,19.083360032568972,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,11,2020-01,GAS_ANNUAL,19.328110512866232,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,12,2020-02,GAS_ANNUAL,19.576,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,0,2019-02,GAS_ANNUAL_LOW,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,1,2019-03,GAS_ANNUAL_LOW,16.7019817009579,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,2,2019-04,GAS_ANNUAL_LOW,16.604535282091227,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,3,2019-05,GAS_ANNUAL_LOW,16.507657406809372,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,4,2019-06,GAS_ANNUAL_LOW,16.41134475798883,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,5,2019-07,GAS_ANNUAL_LOW,16.315594037859572,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,6,2019-08,GAS_ANNUAL_LOW,16.220401967892165,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,7,2019-09,GAS_ANNUAL_LOW,16.125765288685503,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,8,2019-10,GAS_ANNUAL_LOW,16.031680759855202,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,9,2019-11,GAS_ANNUAL_LOW,15.938145159922646,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,10,2019-12,GAS_ANNUAL_LOW,15.845155286204688,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,11,2020-01,GAS_ANNUAL_LOW,15.752707954703991,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,12,2020-02,GAS_ANNUAL_LOW,15.660800000000002,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,0,2019-02,GAS_ANNUAL_HIGH,16.8,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,1,2019-03,GAS_ANNUAL_HIGH,17.27596339256077,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,2,2019-04,GAS_ANNUAL_HIGH,17.76541137744642,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,3,2019-05,GAS_ANNUAL_HIGH,18.26872598872303,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,4,2019-06,GAS_ANNUAL_HIGH,18.786300083922775,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,5,2019-07,GAS_ANNUAL_HIGH,19.31853765068519,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,6,2019-08,GAS_ANNUAL_HIGH,19.865854122085967,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,7,2019-09,GAS_ANNUAL_HIGH,20.428676700899384,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,8,2019-10,GAS_ANNUAL_HIGH,21.00744469304743,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,9,2019-11,GAS_ANNUAL_HIGH,21.602609850495977,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,10,2019-12,GAS_ANNUAL_HIGH,22.214636723865546,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,11,2020-01,GAS_ANNUAL_HIGH,22.84400302503198,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-02,12,2020-02,GAS_ANNUAL_HIGH,23.4912,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,0,2019-03,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,1,2019-04,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,2,2019-05,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,3,2019-06,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,4,2019-07,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,5,2019-08,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,6,2019-09,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,7,2019-10,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,8,2019-11,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,9,2019-12,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,10,2020-01,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,11,2020-02,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,12,2020-03,GAS_SPOT,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,0,2019-03,GAS_ANNUAL,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,1,2019-04,GAS_ANNUAL,16.123025068117723,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,2,2019-05,GAS_ANNUAL,16.42666270756098,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,3,2019-06,GAS_ANNUAL,16.73601861734725,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,4,2019-07,GAS_ANNUAL,17.051200487075803,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,5,2019-08,GAS_ANNUAL,17.372318034415443,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,6,2019-09,GAS_ANNUAL,17.699483043298184,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,7,2019-10,GAS_ANNUAL,18.032809402832303,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,8,2019-11,GAS_ANNUAL,18.372413146948134,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,9,2019-12,GAS_ANNUAL,18.718412494790545,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,10,2020-01,GAS_ANNUAL,19.0709278918721,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,11,2020-02,GAS_ANNUAL,19.430082052001225,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,12,2020-03,GAS_ANNUAL,19.796,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,0,2019-03,GAS_ANNUAL_LOW,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,1,2019-04,GAS_ANNUAL_LOW,15.825982997430502,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,2,2019-05,GAS_ANNUAL_LOW,15.826966055921606,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,3,2019-06,GAS_ANNUAL_LOW,15.827949175477093,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,4,2019-07,GAS_ANNUAL_LOW,15.828932356100767,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,5,2019-08,GAS_ANNUAL_LOW,15.829915597796417,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,6,2019-09,GAS_ANNUAL_LOW,15.830898900567838,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,7,2019-10,GAS_ANNUAL_LOW,15.831882264418821,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,8,2019-11,GAS_ANNUAL_LOW,15.832865689353165,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,9,2019-12,GAS_ANNUAL_LOW,15.833849175374658,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,10,2020-01,GAS_ANNUAL_LOW,15.834832722487098,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,11,2020-02,GAS_ANNUAL_LOW,15.835816330694279,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,12,2020-03,GAS_ANNUAL_LOW,15.836799999999998,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,0,2019-03,GAS_ANNUAL_HIGH,15.825,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,1,2019-04,GAS_ANNUAL_HIGH,16.369860044764497,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,2,2019-05,GAS_ANNUAL_HIGH,16.93347980317075,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,3,2019-06,GAS_ANNUAL_HIGH,17.516505178436113,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,4,2019-07,GAS_ANNUAL_HIGH,18.119604312441815,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,5,2019-08,GAS_ANNUAL_HIGH,18.74346835141762,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,6,2019-09,GAS_ANNUAL_HIGH,19.388812237989207,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,7,2019-10,GAS_ANNUAL_HIGH,20.056375530496076,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,8,2019-11,GAS_ANNUAL_HIGH,20.746923250518808,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,9,2019-12,GAS_ANNUAL_HIGH,21.461246759586945,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,10,2020-01,GAS_ANNUAL_HIGH,22.200164666072283,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,11,2020-02,GAS_ANNUAL_HIGH,22.964523763306747,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
2019-03,12,2020-03,GAS_ANNUAL_HIGH,23.7552,commodity_scenario_only,assumed12monthindex_endpoint; not household tariff
