model,block,variable,source_used,status,exact_bloomberg,closest_ticker,closest_transform,closest_verdict,n,first,last,exact_share,max_abs_gap,exact_since,model_obs_without_bloomberg,without_bloomberg_span,tests,note
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,core_l1,"CNB core m/m, lagged",exact,"CZCIXM Index (published m/m, lag 1)",CZCIXM Index,"published m/m, lag 1",exact,234.0,2007-02,2026-07,1.0,0.0,2007-02,0,,N_core_l1 CZCIXM Index: exact,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,core_l2,"CNB core m/m, lagged",exact,"CZCIXM Index (published m/m, lag 2)",CZCIXM Index,"published m/m, lag 2",exact,233.0,2007-03,2026-07,1.0,0.0,2007-03,0,,N_core_l2 CZCIXM Index: exact,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,core_l12,"CNB core m/m, lagged",exact,"CZCIXM Index (published m/m, lag 12)",CZCIXM Index,"published m/m, lag 12",exact,223.0,2008-01,2026-07,1.0,0.0,2008-01,0,,N_core_l12 CZCIXM Index: exact,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,state,1 if compounded extended-headline y/y at t-1 > 4,not exact,,CZCIPY Index; CZCPYOY Index,"1 if published y/y at t-1 > 4 (CZCIPY to 2014, CZCPYOY from 2015)",similar,235.0,2007-02,2026-08,0.9957,1.0,2007-12,1,2007-01..2007-01,N_state_combined CZCIPY Index; CZCPYOY Index: similar,equal in every month except 2007-11 (CNB-published y/y 4.0 for 2007-10 against compounded 4.04) and 2007-01 (no Bloomberg y/y for 2006-12); CZCPYOY alone is equal from 2015-02 (N_state_czcpyoy)
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,eurczk_mm_x_state,eurczk_mm x state,not exact,,EURCZK CNB Curncy; CZCPYOY Index,m/m of monthly mean (3 dp) x state from published y/y,similar,139.0,2015-02,2026-08,0.9856,0.004147312541480375,2023-11,97,2007-01..2015-01,N_eurczk_x_state EURCZK CNB Curncy; CZCPYOY Index: similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,import_l2_x_state,import_l2 x state,exact,"CZEIIMOM Index; CZCPYOY Index (published m/m, lag 2, x state from published y/y)",CZEIIMOM Index; CZCPYOY Index,"published m/m, lag 2, x state from published y/y",exact,137.0,2015-03,2026-07,1.0,5.773159728050814e-15,2015-03,0,,N_import_x_state CZEIIMOM Index; CZCPYOY Index: exact,"equal only because the two fixture months where lagged CZEIIMOM differs from import_l2 (2017-02, 2017-08) have state 0"
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,core ridge,mon_2 ... mon_12,calendar-month dummies,no data,,,,,,,,,,,,,,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,food block,food_l1,"CZSO 01 m/m, lag 1",not exact,,CZCPFMOM Index,"published m/m, lag 1",extremely similar,137.0,2015-03,2026-07,0.0657,0.1051881993896166,,0,,N_food_l1 CZCPFMOM Index: extremely similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,food block,food_l12,"CZSO 01 m/m, lag 12",not exact,,CZCPFMOM Index,"published m/m, lag 12",extremely similar,126.0,2016-02,2026-07,0.0635,0.1051881993896166,,0,,N_food_l12 CZCPFMOM Index: extremely similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,food block,agri_l0,CZSO farm-price product basket m/m,not exact,,CZPPAMOM Index,"CZSO agricultural PPI m/m, lag 1 (best of lags 0-3)",different,86.0,2010-03,2017-04,0.0,7.193083325810015,,111,2017-05..2026-07,N_agri_l0 CZPPAMOM Index: different,CZPPAMOM ends 2017-03
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,food block,agri_l1,"CZSO farm-price product basket m/m, lag 1",not exact,,CZPPAMOM Index,"CZSO agricultural PPI m/m, lag 2 (best of lags 0-3)",different,86.0,2010-04,2017-05,0.0,7.193083325810015,,110,2017-06..2026-07,N_agri_l1 CZPPAMOM Index: different,CZPPAMOM ends 2017-03
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,food block,food_ppi_l1,"CZSO food-products PPI m/m (CEN0201B division 10), lag 1",not exact,,CZPPA10M Index,"published m/m, lag 1 (best of lags 0-3)",extremely similar,137.0,2015-03,2026-07,0.0657,0.10039840637450209,,0,,N_food_ppi_l1 CZPPA10M Index: extremely similar; X29 CZPPA10M Index: extremely similar; N_food_ppi_l1_eurostat EPT010CZ Index: different,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,fuel block,weekly Natural 95 price,CZSO CENPHMT Monday survey (fixture fuel_weekly.petrol95),not exact,,ECOBETCZ Index,"ISO week, CZK/l",extremely similar,528.0,2016-01-04,2026-08-24,0.0322,0.4809999999999945,,,,X134 ECOBETCZ Index: extremely similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,fuel block,weekly diesel price,CZSO CENPHMT Monday survey (fixture fuel_weekly.diesel),not exact,,ECOBOTCZ Index,"ISO week, CZK/l",similar,528.0,2016-01-04,2026-08-24,0.0189,1.0960000000000036,,,,X136 ECOBOTCZ Index: similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,fuel block,petrol share,cz_struct official petrol share,static,,,,,,,,,,,,,,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,administered block,January announcement ledger,data/admin_announcements_history.csv,static,,,,,,,,,,,,,,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,administered block,energy item weights,cz_struct._ENERGY_ITEM_WEIGHTS (CZSO basket),static,,,,,,,,,,,,,,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,weights,basket anchors,CZSO basket weights in cz_struct,static,,,,,,,,,,,,,,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,clock,release calendar,data/release_calendar_cz_cpi.csv,static,,,,,,,,,,,,,,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,"past-error correction (HALF, FULL)",historical core ridge errors,data/exact_historical_core_errors.csv plus sequential ridge errors,from another model,,,,,,,,,,,,,,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,"past-error correction (HALF, FULL)",error state: extended headline m/m,"FRED CZECPIALLMINMEI to 2014, CZSO from 2015",not exact,,CZCIPM Index,published m/m,similar,235.0,2007-01,2026-07,0.0851,0.1314994606256617,,191,1991-02..2006-12,N_ext_mm CZCIPM Index: similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,"past-error correction (HALF, FULL)",error state: trailing y/y,compounded extended headline m/m,not exact,,CZCIPY Index,published y/y,similar,230.0,2007-01,2026-02,0.0,1.2912042433743949,,185,1992-01..2026-07,N_trailing_czcipy CZCIPY Index: similar; N_trailing_czcpyoy CZCPYOY Index: similar,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,fixture columns dropped by HARD and SENTIMENT,"exp12, exp36, exp12_x_state",CNB FMIE 12m and 36m mean,no Bloomberg series held,,,,,,,,,,,,,,
Nowcast HARD_BASE / HARD_HALF / HARD_FULL,fixture columns dropped by HARD and SENTIMENT,household_exp,"EC consumer price expectations, CZ",exact,EUA8CZ Index (level),EUA8CZ Index,level,exact,236.0,2007-01,2026-08,1.0,0.0,,,,X45 EUA8CZ Index: exact,
Nowcast SENTIMENT_BASE / HALF / FULL,all blocks,every HARD input,same frozen fixture,from another model,,,,,,,,,,,,,,
Nowcast SENTIMENT_BASE / HALF / FULL,core ridge,esi,fixture core_features.esi,not exact,,EUESCZ Index,level,similar,235.0,2007-01,2026-07,0.234,0.2999999999999971,,,,X48 EUESCZ Index: similar,"ECFIN's official CZ.ESI equals EUESCZ exactly (X50), but the fixture column is a different series"
INDEPENDENT_BRIDGE,h0 and block paths,every HARD input,same frozen fixture frames; h0 = HARD_BASE,from another model,,,,,,,,,,,,,,
INDEPENDENT_BRIDGE,month-to-date FX (live calls),gated month-to-date EUR/CZK,CNB daily fixings via cz_struct._eurczk_mtd_mm,exact,"EURCZK CNB Curncy (daily level, CZK)",EURCZK CNB Curncy,"daily level, CZK",exact,2185.0,2018-01-02,2026-09-11,1.0,0.0,2018-01-02,0,,N_cnb_daily_fixings EURCZK CNB Curncy: exact,
INDEPENDENT_BRIDGE,y/y accounting,headline m/m history,output/independent_path_frozen_inputs.csv headline_mm,not exact,,CZCPMOM Index,published m/m,extremely similar,139.0,2015-01,2026-07,0.0719,0.10089197224973906,,287,1991-02..2014-12,N_path_headline_CZCIPM CZCIPM Index: similar; N_path_headline_CZCPMOM CZCPMOM Index: extremely similar,
INDEPENDENT_BRIDGE,comparison only,CNB MPR quarterly CPI path,data/cnb_mpr_cpi_quarterly.csv,no Bloomberg series held,,,,,,,,,,,,,,
"Path roster TARGET_ML, TARGET_FX_ML, TARGET_U_FX_ML, BVAR_U_FX, RF_U_FX, NAIVE",all models,headline m/m history (1991 on),"frozen headline_mm: FRED CZECPIALLMINMEI to 2014, CZSO from 2015",not exact,,CZCPMOM Index,published m/m,extremely similar,139.0,2015-01,2026-07,0.0719,0.10089197224973906,,287,1991-02..2014-12,N_path_headline_CZCIPM CZCIPM Index: similar; N_path_headline_CZCPMOM CZCPMOM Index: extremely similar,
"Path roster TARGET_ML, TARGET_FX_ML, TARGET_U_FX_ML, BVAR_U_FX, RF_U_FX, NAIVE",FX models,fx12_l3,"12-month change of the CNB monthly average EUR/CZK, lag 3",not exact,,EURCZK CNB Curncy,monthly mean rounded to 3 dp,similar,332.0,1999-01,2026-08,0.7349,0.07099999999999795,2025-06,0,,N_path_eurczk EURCZK CNB Curncy: similar,the monthly mean of EURCZK CNB Curncy (3 dp) differs from the CNB-published average by 0.001 in seven months since 2015
"Path roster TARGET_ML, TARGET_FX_ML, TARGET_U_FX_ML, BVAR_U_FX, RF_U_FX, NAIVE",U models,un_d,"CZSO 15-64 unemployment, historical release vintages, change lag 1",not exact,,UMRTCZ Index,level,similar,403.0,1993-01,2026-07,0.0,0.6019309172762708,,0,,N_u_latest UMRTCZ Index: similar; N_u_first UMRTCZ Index: similar; N_u_change UMRTCZ Index: different,
"Path roster TARGET_ML, TARGET_FX_ML, TARGET_U_FX_ML, BVAR_U_FX, RF_U_FX, NAIVE",all models,h0,HARD_BASE nowcast,from another model,,,,,,,,,,,,,,
"Path roster TARGET_ML, TARGET_FX_ML, TARGET_U_FX_ML, BVAR_U_FX, RF_U_FX, NAIVE",target-anchored models,inflation target path,CNB target constants,static,,,,,,,,,,,,,,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",F1b engine,nowcast frame,cz_struct.load_all live database: the series of the HARD fixture,from another model,,,,,,,,,,,,,,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)","F1b engine core ridge (full frame, surveys kept)","exp12, exp36, exp12_x_state",CNB FMIE 12m and 36m mean (live database),no Bloomberg series held,,,,,,,,,,,,,,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)","F1b engine core ridge (full frame, surveys kept)",household_exp,"EC consumer price expectations, CZ",exact,EUA8CZ Index (level),EUA8CZ Index,level,exact,236.0,2007-01,2026-08,1.0,0.0,,,,X45 EUA8CZ Index: exact,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)","F1b engine core ridge (full frame, surveys kept)",esi,la.load_esi (live database),not exact,,EUESCZ Index,level,similar,235.0,2007-01,2026-07,0.234,0.2999999999999971,,,,X48 EUESCZ Index: similar,X48 tests the frozen fixture esi column
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",F1b engine,m3_yoy,"ARAD SMV5M108 y/y, lag 1",not exact,,CZMSM3 Index,y/y from level,extremely similar,282.0,2003-01,2026-06,0.9043,0.0052922405452626,,,,X93 CZMSM3 Index: extremely similar; X92 CZMSM3Y Index: similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",F1b engine,hpi_yoy,CZSO old-apartment prices y/y (czso.hpi),not exact,,HOPICZI Index,y/y from level (4 quarters),different,63.0,2010Q3,2026Q1,0.0,54.80336134453781,,,,X91 HOPICZI Index: different,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",F1b engine,constr_ppi_yoy,CZSO construction PPI (czso.cen0202a),no Bloomberg series held,,,,,,,,,,,,,,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",trend history,headline m/m 1998 on,load_headline_cpi_mm_extended,not exact,,CZCIPM Index,published m/m,similar,235.0,2007-01,2026-07,0.0851,0.1314994606256617,,191,1991-02..2006-12,N_ext_mm CZCIPM Index: similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",F2 trend line,FMIE one-year expectation,consensus.inflation_expectations cnb_fmie 12m mean,no Bloomberg series held,,,,,,,,,,,,,,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",F2_D2 variants,fx_mm,m/m of CNB monthly average EUR/CZK,not exact,,EURCZK CNB Curncy,m/m of monthly mean rounded to 3 dp,similar,236.0,2007-01,2026-08,0.8432,0.0890401598015564,,,,X100 EURCZK CNB Curncy: similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)","F2_D2 variants, E lines",un_d,"CZSO 15-64 trend-cycle change, lag 1 (czso.unemployment_ri)",not exact,,UMRTCZ Index,level,similar,403.0,1993-01,2026-07,0.0,0.6019309172762708,,0,,X87 UMRTCZ Index: different; N_un_level_db UMRTCZ Index: similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",F2_D2 variants,esi,eurostat.bcs_survey BS-ESI-I (czechia.duckdb),not exact,,EUESCZ Index,level,similar,379.0,1995-01,2026-07,0.4037,0.2999999999999971,,,,X49 EUESCZ Index: similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",E4-E7 lines,fx_yoy_l3,"12-month change of the CNB monthly average, lag 3",not exact,,EURCZK CNB Curncy,monthly mean rounded to 3 dp,similar,332.0,1999-01,2026-08,0.7349,0.0709999999999979,,,,X99 EURCZK CNB Curncy: similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)","E4, E6, E7 lines",rr_gap12,"3M PRIBOR monthly average minus compounded headline y/y, lag 12",not exact,,PRIB03M Index,monthly mean of daily,similar,400.0,1993-04,2026-07,0.7175,0.5284999999999975,,3,1993-01..1993-03,N_rr_gap12 PRIB03M Index; CZCPYOY Index: similar; N_pribor_avg PRIB03M Index: similar; X94 PRIB03M Index: similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",E5 line,rr_gap18,"as rr_gap12, lag 18",not exact,,PRIB03M Index; CZCPYOY Index,"monthly mean (2 dp) minus published y/y, lag 18",similar,121.0,2016-07,2026-07,0.0165,0.10642570281122721,,193,2000-06..2016-06,N_rr_gap18 PRIB03M Index; CZCPYOY Index: similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",E6 line,wage_yoy,Eurostat lc_lci_r2_q D11 B-S NSA y/y,not exact,,LNTNCZ Index,y/y from level (4 quarters),different,101.0,2001Q1,2026Q1,0.0,9.6268470735547,,,,X90 LNTNCZ Index: different,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",E7 line,imp_mm,"CZSO CEN0303 import prices m/m, lag 1",not exact,,CZEIIMOM Index,published m/m,extremely similar,222.0,2008-01,2026-06,0.991,0.1000000000000056,,,,X27 CZEIIMOM Index: extremely similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)","E2, E3 lines",rr_gap6,"as rr_gap12, lag 6",not exact,,PRIB03M Index; CZCPYOY Index,"monthly mean (2 dp) minus published y/y, lag 6",similar,133.0,2015-07,2026-07,0.015,0.10642570281122721,,193,1999-06..2015-06,N_rr_gap6 PRIB03M Index; CZCPYOY Index: similar,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",E3 line,reer_mm,ARAD SREERM101 m/m,not exact,,BISBCZR Index,m/m of the monthly value (monthly mean for daily series),different,330.0,1999-02,2026-07,0.0,4.359537106057454,,0,,N_reer_mm_BISBCZR BISBCZR Index: different; N_reer_mm_BRERCZ BRERCZ Index: different; N_reer_mm_REERCZK .REER_CZK G Index: different; N_reer_mm_BREERCZK BREERCZK Index: different,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",benchmarks,CNB MPR quarterly CPI path,data/cnb_mpr_cpi_quarterly.csv,no Bloomberg series held,,,,,,,,,,,,,,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",benchmarks,latest FMIE one-year expectation,consensus.inflation_expectations cnb_fmie,no Bloomberg series held,,,,,,,,,,,,,,
"path_live (F1b engine, F2 trend line, E7 target line, E variants)",clock,known flash first releases,path_live FLASH_KNOWN,static,,,,,,,,,,,,,,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 1: EC business and consumer surveys - Production development observed over the past 3 months,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,exact,EUI6CZ Index (level),EUI6CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X51 EUI6CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 2: EC business and consumer surveys - Production expectations over the next 3 months,eurostat:ei_bsin_m_r2:BS-IPE:SA:CZ,exact,EUI1CZ Index (level),EUI1CZ Index,level,exact,403.0,1993-02,2026-08,1.0,0.0,,,,X52 EUI1CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 3: EC business and consumer surveys - Business situation development over the past 3 months,eurostat:ei_bsse_m_r2:BS-SABC:SA:CZ,exact,EUS1CZ Index (level),EUS1CZ Index,level,exact,292.0,2002-05,2026-08,1.0,0.0,,,,X53 EUS1CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 4: EC business and consumer surveys - Evolution of demand over the past 3 months,eurostat:ei_bsse_m_r2:BS-SARM:SA:CZ,exact,EUS2CZ Index (level),EUS2CZ Index,level,exact,292.0,2002-05,2026-08,1.0,0.0,,,,X54 EUS2CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 5: EC business and consumer surveys - Business activity (sales) development over the past 3 months,eurostat:ei_bsrt_m_r2:BS-RPBS:SA:CZ,exact,EUR1CZ Index (level),EUR1CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X55 EUR1CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 6: EC business and consumer surveys - Building activity development over the past 3 months,eurostat:ei_bsbu_m_r2:BS-CTA-BAL:SA:CZ,exact,EUB1CZ Index (level),EUB1CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X56 EUB1CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 7: EC business and consumer surveys - Factors limiting building activity: shortage of labour,eurostat:ei_bsbu_m_r2:BS-FLBA4-PC:SA:CZ,exact,EUB5F4CZ Index (level),EUB5F4CZ Index,level,exact,403.0,1993-02,2026-08,1.0,0.0,,,,X57 EUB5F4CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 8: EC business and consumer surveys - Factors limiting building activity: shortage of material/equipment,eurostat:ei_bsbu_m_r2:BS-FLBA5-PC:SA:CZ,exact,EUB5F5CZ Index (level),EUB5F5CZ Index,level,exact,403.0,1993-02,2026-08,1.0,0.0,,,,X58 EUB5F5CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 9: EC business and consumer surveys - Factors limiting building activity: financial constraints,eurostat:ei_bsbu_m_r2:BS-FLBA7-PC:SA:CZ,exact,EUB5F7CZ Index (level),EUB5F7CZ Index,level,exact,403.0,1993-02,2026-08,1.0,0.0,,,,X59 EUB5F7CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 10: EC business and consumer surveys - Financial situation over the next 13 months,eurostat:ei_bsco_m:BS-FS-NY:SA:CZ,exact,EUA2CZ Index (level),EUA2CZ Index,level,exact,380.0,1995-01,2026-08,1.0,0.0,,,,X60 EUA2CZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 11: Unemployment,eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:CZ,exact,UMRTCZ Index (level),UMRTCZ Index,level,exact,403.0,1993-01,2026-07,1.0,0.0,,,,X86 UMRTCZ Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 12: Index of industrial production,czso:PRU01C:sa_calendar_adjusted_level,not exact,,CZIPITS Index,index level,similar,317.0,2000-01,2026-05,0.0,0.30611678000001064,,0,,N_a6_12 CZIPITS Index: similar,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 13: Building permits - CZSO,czso:bvzcr_tab6:building_permits_granted,exact,CZGRIDX Index (level (count)),CZGRIDX Index,level (count),exact,295.0,2002-01,2026-07,1.0,0.0,2002-01,0,,N_a6_13 CZGRIDX Index: exact,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 14: Rushin Index,cnb:rushin:monthly_mean_of_weekly,not exact,,CZRUSHIN Index,monthly mean of the weekly values,extremely similar,218.0,2008-07,2026-08,0.0,0.0033891952171374307,,0,,N_a6_14 CZRUSHIN Index: extremely similar,
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 15: LUCI (Labour Utilisation Composite Index): Total,cnb_luci:luci_total,no Bloomberg series held,,,,,,,,,,,,,,CNB LUCI total
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 16: LUCI (Labour Utilisation Composite Index): Wages and Labour costs,cnb_luci:luci_wages_labour_costs,no Bloomberg series held,,,,,,,,,,,,,,CNB LUCI wages and labour costs component
CNB WP9 TVW-QRF (exact panel),G1: Real Activity CZ,row 17: Unit labor costs: Nominal unit labor costs,cnb_arad:MLULNULXXADJYOYPECQ,not exact,,LCTQCZI Index,y/y from level (4 quarters),different,97.0,2002Q1,2026Q1,0.0,2.9363855421686855,,0,,N_a6_17 LCTQCZI Index: different,
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 18: EC business and consumer surveys - Industrial confidence indicator (DE),eurostat:ei_bsin_m_r2:BS-ICI:SA:DE,exact,EUICDE Index (level),EUICDE Index,level,exact,500.0,1985-01,2026-08,1.0,0.0,,,,X61 EUICDE Index: exact,Bloomberg history starts 1985-01; the missing 1980-84 months are before the panel sample (2002-05 on)
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 19: EC business and consumer surveys - Services confidence indicator (DE),eurostat:ei_bsse_m_r2:BS-SCI:SA:DE,exact,EUSCDE Index (level),EUSCDE Index,level,exact,377.0,1995-04,2026-08,1.0,0.0,,,,X62 EUSCDE Index: exact,
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 20: EC business and consumer surveys - Retail confidence indicator (DE),eurostat:ei_bsrt_m_r2:BS-RCI:SA:DE,exact,EURTDE Index (level),EURTDE Index,level,exact,500.0,1985-01,2026-08,1.0,0.0,,,,X63 EURTDE Index: exact,Bloomberg history starts 1985-01; the missing 1984 months are before the panel sample (2002-05 on)
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 21: EC business and consumer surveys - Construction confidence indicator (DE),eurostat:ei_bsbu_m_r2:BS-CCI-BAL:SA:DE,exact,EUCODE Index (level),EUCODE Index,level,exact,500.0,1985-01,2026-08,1.0,0.0,,,,X64 EUCODE Index: exact,Bloomberg history starts 1985-01; the missing 1980-84 months are before the panel sample (2002-05 on)
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 22: EC business and consumer surveys - Retail confidence indicator (PL),eurostat:ei_bsrt_m_r2:BS-RCI:SA:PL,exact,EURTPL Index (level),EURTPL Index,level,exact,395.0,1993-10,2026-08,1.0,0.0,,,,X65 EURTPL Index: exact,
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 23: Harmonised index of consumer prices (DE),eurostat:prc_hicp_minr:TOTAL:I25:DE,not exact,,GRCPHCPI Index,level,extremely similar,368.0,1996-01,2026-08,0.106,0.0500000000000113,,,,X85 GRCPHCPI Index: extremely similar,
CNB WP9 TVW-QRF (exact panel),G2: Foreign influence,row 24: Unemployment (DE),eurostat:une_rt_m:SA:TOTAL:T:PC_ACT:DE,exact,UMRTDE Index (level),UMRTDE Index,level,exact,427.0,1991-01,2026-07,1.0,0.0,,,,X84 UMRTDE Index: exact,
