origin,as_of,panel_edge,panel_cutoff,rule
2012-10,2012-11-08 23:59:00,2012-09,2012-11-08 00:00:00,frozen_R15_clock
2012-11,2012-12-09 23:59:00,2012-10,2012-12-09 00:00:00,frozen_R15_clock
2012-12,2013-01-08 23:59:00,2012-11,2013-01-08 00:00:00,frozen_R15_clock
2013-01,2013-02-10 23:59:00,2012-12,2013-02-10 00:00:00,frozen_R15_clock
2013-02,2013-03-10 23:59:00,2013-01,2013-03-10 00:00:00,frozen_R15_clock
2013-03,2013-04-08 23:59:00,2013-02,2013-04-08 00:00:00,frozen_R15_clock
2013-04,2013-05-09 23:59:00,2013-03,2013-05-09 00:00:00,frozen_R15_clock
2013-05,2013-06-09 23:59:00,2013-04,2013-06-09 00:00:00,frozen_R15_clock
2013-06,2013-07-08 23:59:00,2013-05,2013-07-08 00:00:00,frozen_R15_clock
2013-07,2013-08-08 23:59:00,2013-06,2013-08-08 00:00:00,frozen_R15_clock
2013-08,2013-09-08 23:59:00,2013-07,2013-09-08 00:00:00,frozen_R15_clock
2013-09,2013-10-08 23:59:00,2013-08,2013-10-08 00:00:00,frozen_R15_clock
2013-10,2013-11-10 23:59:00,2013-09,2013-11-10 00:00:00,frozen_R15_clock
2013-11,2013-12-08 23:59:00,2013-10,2013-12-08 00:00:00,frozen_R15_clock
2013-12,2014-01-08 23:59:00,2013-11,2014-01-08 00:00:00,frozen_R15_clock
2014-01,2014-02-11 23:59:00,2013-12,2014-02-11 00:00:00,frozen_R15_clock
2014-02,2014-03-09 23:59:00,2014-01,2014-03-09 00:00:00,frozen_R15_clock
2014-03,2014-04-08 23:59:00,2014-02,2014-04-08 00:00:00,frozen_R15_clock
2014-04,2014-05-11 23:59:00,2014-03,2014-05-11 00:00:00,frozen_R15_clock
2014-05,2014-06-08 23:59:00,2014-04,2014-06-08 00:00:00,frozen_R15_clock
2014-06,2014-07-08 23:59:00,2014-05,2014-07-08 00:00:00,frozen_R15_clock
2014-07,2014-08-10 23:59:00,2014-06,2014-08-10 00:00:00,frozen_R15_clock
2014-08,2014-09-08 23:59:00,2014-07,2014-09-08 00:00:00,frozen_R15_clock
2014-09,2014-10-08 23:59:00,2014-08,2014-10-08 00:00:00,frozen_R15_clock
2014-10,2014-11-09 23:59:00,2014-09,2014-11-09 00:00:00,frozen_R15_clock
2014-11,2014-12-08 23:59:00,2014-10,2014-12-08 00:00:00,frozen_R15_clock
2014-12,2015-01-08 23:59:00,2014-11,2015-01-08 00:00:00,frozen_R15_clock
2015-01,2015-02-08 23:59:00,2014-12,2015-02-08 00:00:00,frozen_R15_clock
2015-02,2015-03-08 23:59:00,2015-01,2015-03-08 00:00:00,frozen_R15_clock
2015-03,2015-04-08 23:59:00,2015-02,2015-04-08 00:00:00,frozen_R15_clock
2015-04,2015-05-11 23:59:00,2015-03,2015-05-11 00:00:00,frozen_R15_clock
2015-05,2015-06-08 23:59:00,2015-04,2015-06-08 00:00:00,frozen_R15_clock
2015-06,2015-07-08 23:59:00,2015-05,2015-07-08 00:00:00,frozen_R15_clock
2015-07,2015-08-09 23:59:00,2015-06,2015-08-09 00:00:00,frozen_R15_clock
2015-08,2015-09-08 23:59:00,2015-07,2015-09-08 00:00:00,frozen_R15_clock
2015-09,2015-10-08 23:59:00,2015-08,2015-10-08 00:00:00,frozen_R15_clock
2015-10,2015-11-08 23:59:00,2015-09,2015-11-08 00:00:00,frozen_R15_clock
2015-11,2015-12-08 23:59:00,2015-10,2015-12-08 00:00:00,frozen_R15_clock
2015-12,2016-01-11 23:59:00,2015-11,2016-01-11 00:00:00,frozen_R15_clock
2016-01,2016-02-11 23:59:00,2015-12,2016-02-11 00:00:00,frozen_R15_clock
2016-02,2016-03-08 23:59:00,2016-01,2016-03-08 00:00:00,frozen_R15_clock
2016-03,2016-04-10 23:59:00,2016-02,2016-04-10 00:00:00,frozen_R15_clock
2016-04,2016-05-09 23:59:00,2016-03,2016-05-09 00:00:00,frozen_R15_clock
2016-05,2016-06-08 23:59:00,2016-04,2016-06-08 00:00:00,frozen_R15_clock
2016-06,2016-07-11 23:59:00,2016-05,2016-07-11 00:00:00,frozen_R15_clock
2016-07,2016-08-08 23:59:00,2016-06,2016-08-08 00:00:00,frozen_R15_clock
2016-08,2016-09-08 23:59:00,2016-07,2016-09-08 00:00:00,frozen_R15_clock
2016-09,2016-10-09 23:59:00,2016-08,2016-10-09 00:00:00,frozen_R15_clock
2016-10,2016-11-08 23:59:00,2016-09,2016-11-08 00:00:00,frozen_R15_clock
2016-11,2016-12-08 23:59:00,2016-10,2016-12-08 00:00:00,frozen_R15_clock
2016-12,2017-01-09 23:59:00,2016-11,2017-01-09 00:00:00,frozen_R15_clock
2017-01,2017-02-09 23:59:00,2016-12,2017-02-09 00:00:00,frozen_R15_clock
2017-02,2017-03-08 23:59:00,2017-01,2017-03-08 00:00:00,frozen_R15_clock
2017-03,2017-04-09 23:59:00,2017-02,2017-04-09 00:00:00,frozen_R15_clock
2017-04,2017-05-09 23:59:00,2017-03,2017-05-09 00:00:00,frozen_R15_clock
2017-05,2017-06-08 23:59:00,2017-04,2017-06-08 00:00:00,frozen_R15_clock
2017-06,2017-07-11 23:59:00,2017-05,2017-07-11 00:00:00,frozen_R15_clock
2017-07,2017-08-08 23:59:00,2017-06,2017-08-08 00:00:00,frozen_R15_clock
2017-08,2017-09-10 23:59:00,2017-07,2017-09-10 00:00:00,frozen_R15_clock
2017-09,2017-10-08 23:59:00,2017-08,2017-10-08 00:00:00,frozen_R15_clock
2017-10,2017-11-08 23:59:00,2017-09,2017-11-08 00:00:00,frozen_R15_clock
2017-11,2017-12-10 23:59:00,2017-10,2017-12-10 00:00:00,frozen_R15_clock
2017-12,2018-01-09 23:59:00,2017-11,2018-01-09 00:00:00,frozen_R15_clock
2018-01,2018-02-13 23:59:00,2017-12,2018-02-13 00:00:00,frozen_R15_clock
2018-02,2018-03-08 23:59:00,2018-01,2018-03-08 00:00:00,frozen_R15_clock
2018-03,2018-04-09 23:59:00,2018-02,2018-04-09 00:00:00,frozen_R15_clock
2018-04,2018-05-09 23:59:00,2018-03,2018-05-09 00:00:00,frozen_R15_clock
2018-05,2018-06-10 23:59:00,2018-04,2018-06-10 00:00:00,frozen_R15_clock
2018-06,2018-07-10 23:59:00,2018-05,2018-07-10 00:00:00,frozen_R15_clock
2018-07,2018-08-08 23:59:00,2018-06,2018-08-08 00:00:00,frozen_R15_clock
2018-08,2018-09-09 23:59:00,2018-07,2018-09-09 00:00:00,frozen_R15_clock
2018-09,2018-10-08 23:59:00,2018-08,2018-10-08 00:00:00,frozen_R15_clock
2018-10,2018-11-08 23:59:00,2018-09,2018-11-08 00:00:00,frozen_R15_clock
2018-11,2018-12-09 23:59:00,2018-10,2018-12-09 00:00:00,frozen_R15_clock
2018-12,2019-01-09 23:59:00,2018-11,2019-01-09 00:00:00,frozen_R15_clock
2019-01,2019-02-12 23:59:00,2018-12,2019-02-12 00:00:00,frozen_R15_clock
2019-02,2019-03-10 23:59:00,2019-01,2019-03-10 00:00:00,frozen_R15_clock
2019-03,2019-04-09 23:59:00,2019-02,2019-04-09 00:00:00,frozen_R15_clock
