event_id,policy_id,action,item_or_population,effective_from,effective_to_exclusive_if_known,source_pub_date,conservative_cpi_treatment_date,kind,value,unit,source_ids,status,national_point_candidate_closed,eligibility_reason,policy_available_from,cpi_application_available_from,mapping_basis
CAP23_GAS,cap_2023_gas,start,gas,2023-01,2024-01,2022-10-05,2023-02-10,commodity_cap,2500,CZK/MWh_ex_VAT,S06;S23,legal_amount_known_treatment_gate_retained,false,Specific Jan2023 CZSO treatment gate inherited existing ledger; earlier generic contractual-price treatment is explicit inference only; cheaper contracts remain cheaper,2022-10-05T23:59:59Z,2023-02-10T23:59:59Z,explicit_sourced_treatment
CAP24_EXPIRY_GAS,cap_2023_gas,expiry,gas,2024-01,,2022-10-05,2023-02-10,commodity_cap,,,S06;S23,scheduled_expiry_known_mapping_open,false,Expiry horizon visible with original whole2023 cap; nonbinding share needs contracts,2022-10-05T23:59:59Z,2023-02-10T23:59:59Z,explicit_sourced_treatment
CAP23_FIXED,cap_2023_supplier_fixed,start,electricity;gas,2023-01,2024-01,2022-10-05,,supplier_fixed_fee_cap,130,CZK/connection/month_scope_needs_decree,S06,amount_known_contract_scope_open,false,Separate supplier standing fee from fixed distribution fee; confirm exVAT and grandfathering in original decree before loading,2022-10-05T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2020_ELECTRICITY,eru_2020_electricity,annual_tariff_announcement,electricity,2020-01,2021-01,2019-11-28,,regulated_annual_change,1.3,pct_regulated_component,S17,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2019-11-28T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2020_GAS,eru_2020_gas,annual_tariff_announcement,gas,2020-01,2021-01,2019-11-28,,regulated_annual_change,0.53,pct_regulated_component,S17,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2019-11-28T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2021_ELECTRICITY,eru_2021_electricity,annual_tariff_announcement,electricity,2021-01,2022-01,2020-11-30,,regulated_annual_change,-1.7,pct_regulated_component,S18,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2020-11-30T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2021_GAS,eru_2021_gas,annual_tariff_announcement,gas,2021-01,2022-01,2020-11-30,,regulated_annual_change,-1.6,pct_regulated_component,S18,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2020-11-30T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2022_ELECTRICITY,eru_2022_electricity,annual_tariff_announcement,electricity,2022-01,2023-01,2021-12-01,,regulated_annual_change,3.7,pct_regulated_component,S15,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2021-12-01T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2022_GAS,eru_2022_gas,annual_tariff_announcement,gas,2022-01,2023-01,2021-12-01,,regulated_annual_change,2.4,pct_regulated_component,S15,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2021-12-01T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2023_ELECTRICITY,eru_2023_electricity,annual_tariff_announcement,electricity,2023-01,2024-01,2022-11-16,,regulated_annual_change,-16.7,pct_regulated_component,S19,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2022-11-16T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2023_GAS,eru_2023_gas,annual_tariff_announcement,gas,2023-01,2024-01,2022-11-16,,regulated_annual_change,1.7,pct_regulated_component,S19,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2022-11-16T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2024_ELECTRICITY,eru_2024_electricity,annual_tariff_announcement,electricity,2024-01,2025-01,2023-11-30,,regulated_annual_change,65.7,pct_regulated_component,S10,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2023-11-30T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2024_GAS,eru_2024_gas,annual_tariff_announcement,gas,2024-01,2025-01,2023-11-30,,regulated_annual_change,38.8,pct_regulated_component,S10,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2023-11-30T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2025_ELECTRICITY,eru_2025_electricity,annual_tariff_announcement,electricity,2025-01,2026-01,2024-11-29,,regulated_annual_change,1.4,pct_regulated_component,S11,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2024-11-29T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2025_GAS,eru_2025_gas,annual_tariff_announcement,gas,2025-01,2026-01,2024-11-29,,regulated_annual_change,8.6,pct_regulated_component,S11,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2024-11-29T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2026_ELECTRICITY,eru_2026_electricity,annual_tariff_announcement,electricity,2026-01,2027-01,2025-11-28,,regulated_annual_change,1.1,pct_regulated_component,S12,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2025-11-28T23:59:59Z,,mapping_unavailable_or_summary_only
ERU2026_GAS,eru_2026_gas,annual_tariff_announcement,gas,2026-01,2027-01,2025-11-28,,regulated_annual_change,4.7,pct_regulated_component,S12,summary_fact_not_bill_relative,false,No direct January m/m mapping; tariff-specific baseline/exposure needed; POZE included in electricity aggregate;2026initial superseded only once later amendment known,2025-11-28T23:59:59Z,,mapping_unavailable_or_summary_only
POZE24_CAPACITY,poze_tariff_2024,tariff_level,electricity_low_voltage,2024-01,2025-01,2023-11-30,2022-11-10,levy_capacity_rate,84.70,CZK/A/month_ex_VAT,S09;S21,adopted_tariff_known_exposure_open,false,Multiply3 for three-phase; ceil breakerA; bill-period MWh ceiling495; source treatment applied by declared continuity,2023-11-30T23:59:59Z,2023-11-30T23:59:59Z,declared_continuity_inference_from_prior_treatment
POZE24_CEILING,poze_tariff_2024,tariff_ceiling,electricity_low_voltage,2024-01,2025-01,2023-11-30,2022-11-10,levy_volume_ceiling,495,CZK/MWh_ex_VAT,S09;S21,adopted_tariff_known_exposure_open,false,Not universal flat rate without cap-binding assumption; no addition to total-regulated65.7%,2023-11-30T23:59:59Z,2023-11-30T23:59:59Z,declared_continuity_inference_from_prior_treatment
POZE26_ADOPT,poze_waiver_2026,start,electricity_all_voltage,2026-01,,2025-12-29,2022-11-10,levy_capacity_rate,0,CZK/A/month_ex_VAT,S13;S22,adopted_tariff_known_exposure_open,false,Replaces initial8.32; continuity of prior POZE CPI treatment is an explicit inference;2027 unknown not automatic495 reversal,2025-12-29T23:59:59Z,2025-12-29T23:59:59Z,declared_continuity_inference_from_prior_treatment
ERU26_FINAL_AVG,eru_2026_electricity_final,revision_summary,electricity_low_voltage,2026-01,2027-01,2025-12-29,,regulated_annual_change,-15.1,pct_regulated_component,S14,summary_fact_not_bill_relative,false,Contains zeroPOZE; do not add separate levy removal; press page updatedJan6 so original exact average-vintage not archived,2025-12-29T23:59:59Z,,mapping_unavailable_or_summary_only
CEZ26_D02,cez_2026_D02,commodity_repricing,electricity_CEZ_D02_indefinite,2026-01,,2025-12-30,,commodity_rate,3190,CZK/MWh_ex_VAT,S20,product_quote_known_exposure_open,false,Prior3430 derived3190+240; no national share; reject mixed-VAT840 total,2025-12-30T23:59:59Z,,mapping_unavailable_or_summary_only
CEZ26_GAS,cez_2026_gas,commodity_repricing,gas_CEZ_product_scope_ambiguous,2026-01,,2025-12-30,,commodity_rate,1289,CZK/MWh_ex_VAT,S20,product_quote_known_scope_open,false,Prior1359 derived1289+70; prose inconsistent fixed vs indefinite; no national share,2025-12-30T23:59:59Z,,mapping_unavailable_or_summary_only
