lane,model,status,block,variable,source_now,bloomberg,input_verdict,same_results,evidence,note
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",h0,independent nowcast BASE,nowcast lane (see nowcast rows),—,see nowcast,follows the nowcast,R17 stack: every path keeps HARD_BASE h0,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",core,CNB core inflation m/m,fixture cnb_core_mm (ARAD SCPIMZM09MOMPECNA),CZCIXM Index,exact,identical,T1,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",food,CZSO food CPI level (division 01),data/research_r14/food/pipeline_log_levels.csv (CZSO 2015=100),"CZCPF Index (2025=100, one decimal)",extremely similar,not identical: see T5c,T5a-T5c,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",food,"farm-gate prices, four products (agri4)",CZSO CEN0203B (data/cz_agri_prices_raw.csv),none,not on Bloomberg,stays CZSO,—,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",food,food producer prices (food_ppi),CZSO PPI product level (data/cz_ppi_product_raw.csv),none tested,not tested,stays CZSO,—,CZPPA10M is the agricultural m/m; the food-industry PPI ticker was not probed
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",food,long food history 1995-2025 (R24 drift),CZSO czso_cpi_1995_2025.csv,CPF1CZ / CZCPF (see T8),partial,stays CZSO,T8,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",fuel,"weekly pump prices, petrol 95 and diesel",EC Weekly Oil Bulletin files (data/research_r14/fuel/pump_weekly.csv),"ECOBETCZ, ECOBOTCZ Index",exact,identical (T4d),T4a-T4d,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",fuel,petrol share of the fuel item,CZSO basket (models/components OFFICIAL_PETROL_SHARE),none,static,static,—,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",administered,CNB regulated prices m/m,fixture cnb_regulated_mm (ARAD SCPIMZM02MOMPECNA),CZCIRM Index,exact,identical,T2,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",administered,announcement ledger (energy decisions),"data/admin_announcements_history.csv (hand-maintained, sourced documents)",none,documents,stays,—,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",alcohol & tobacco,CZSO division 02 m/m,fixture alcohol_tobacco (CZSO 2015=100-based),CZCPA Index / CZCPAMOM Index,extremely similar,not identical: see T6d,T6a-T6d,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",compounding,"headline CPI m/m history (annual rates, wedge, scoring truth)",output/independent_path_frozen_inputs.csv (CZSO 2015=100-based; FRED before 2015),CZCIPM (2007-) / CZCPMOM (2015-) Index,extremely similar,not identical: see T3c,T3a-T3c,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",weights,CPI basket weights,"CZSO basket files (data/baskets, data/research_r18/categories)",none,static,static,—,
path,R27 research path (FOOD_ECM_R27),research roster,food,"retail, producer and farm food price levels (the R27 gap)",the same three series as the food system,CZCPF for retail only,extremely similar / none / none,stays CZSO,—,
path,R29B core phase rule (CORE_LEVELPHASE_FIXED080_R29B),"research line, not promoted",core,"manufacturing PPI index (A6 row 47, Eurostat) for the phase",data/paper_replication/a6_inputs_20260912,none (EPP00CCZ does not resolve); PPTXCZ is the total,different aggregate,not identical: see T7c,T7a-T7c,
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,target and wedge,headline CPI m/m,m/m of CZSO 2015=100 index (fixture target_headline_cpi_mm),CZCIPM Index,extremely similar,parity run pending (Bloomberg input lane in cz_struct),X2 CZCIPM Index: extremely similar; X3 CZCPMOM Index: extremely similar,max gap 0.1008919722497391
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core block,CNB core m/m,ARAD SCPIMZM09MOMPECNA (fixture cnb_core_mm),CZCIXM Index,exact,identical,X0 CZCIXM Index: exact,max gap 0.0
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,administered block,CNB regulated prices m/m,ARAD SCPIMZM02MOMPECNA (fixture cnb_regulated_mm),CZCIRM Index,exact,identical,X1 CZCIRM Index: exact,max gap 0.0
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,food block,food (COICOP 01) m/m,CZSO (fixture component_food_fuel_mm.food),CZCPFMOM Index,extremely similar,parity run pending (Bloomberg input lane in cz_struct),X4 CZCPFMOM Index: extremely similar; N_food_cnb CZCIBM Index: different,max gap 0.1051881993896166
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,fuel block,fuels (07.22) m/m,CZSO (fixture component_food_fuel_mm.fuel),CZCIFM Index,similar,parity run pending (Bloomberg input lane in cz_struct),X6 CP7FCZ Index: similar; N_fuel_cnb CZCIFM Index: similar,max gap 4.36963064295485
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,alcohol and tobacco block,alcohol and tobacco (02) m/m,CZSO (fixture alcohol_tobacco),CZCPAMOM Index,extremely similar,parity run pending (Bloomberg input lane in cz_struct),X5 CZCPAMOM Index: extremely similar,max gap 0.1053518334985008
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,eurczk_mm,m/m of CNB monthly average EUR/CZK (monetary.fx_monthly),EURCZK CNB Curncy,similar,parity run pending (Bloomberg input lane in cz_struct),X100 EURCZK CNB Curncy: similar; X112 EURCZK Curncy: similar; X106 EURCZK F143 Curncy: different; X109 EURCZK BFIX Curncy: different; X103 EURCZKF Curncy: different,max gap 0.0890401598015564
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge (live calls),month-to-date eurczk_mm before the monthly average is published,CNB daily fixings via cz_struct._eurczk_mtd_mm,EURCZK CNB Curncy,exact,identical,N_cnb_daily_fixings EURCZK CNB Curncy: exact,max gap 0.0
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,services_l1,"CZSO services m/m, lag 1",CPSVCZM Index,different,parity run pending (Bloomberg input lane in cz_struct),N_services_l1 CPSVCZM Index: different,max gap 2.036587808236332
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,import_l2,"CZSO import prices m/m, lag 2",CZEIIMOM Index,extremely similar,parity run pending (Bloomberg input lane in cz_struct),X26 CZEIIMOM Index: extremely similar,max gap 0.1000000000000056
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,core_l1,"CNB core m/m, lagged",CZCIXM Index,exact,identical,N_core_l1 CZCIXM Index: exact,max gap 0.0
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,core_l2,"CNB core m/m, lagged",CZCIXM Index,exact,identical,N_core_l2 CZCIXM Index: exact,max gap 0.0
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,core_l12,"CNB core m/m, lagged",CZCIXM Index,exact,identical,N_core_l12 CZCIXM Index: exact,max gap 0.0
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,state,1 if compounded extended-headline y/y at t-1 > 4,CZCIPY Index; CZCPYOY Index,similar,parity run pending (Bloomberg input lane in cz_struct),N_state_combined CZCIPY Index; CZCPYOY Index: similar,max gap 1.0
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,eurczk_mm_x_state,eurczk_mm x state,EURCZK CNB Curncy; CZCPYOY Index,similar,parity run pending (Bloomberg input lane in cz_struct),N_eurczk_x_state EURCZK CNB Curncy; CZCPYOY Index: similar,max gap 0.004147312541480375
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,import_l2_x_state,import_l2 x state,CZEIIMOM Index; CZCPYOY Index,exact,identical,N_import_x_state CZEIIMOM Index; CZCPYOY Index: exact,max gap 5.773159728050814e-15
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,core ridge,mon_2 ... mon_12,calendar-month dummies,,no data,stays,—,
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,food block,food_l1,"CZSO 01 m/m, lag 1",CZCPFMOM Index,extremely similar,parity run pending (Bloomberg input lane in cz_struct),N_food_l1 CZCPFMOM Index: extremely similar,max gap 0.1051881993896166
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,food block,food_l12,"CZSO 01 m/m, lag 12",CZCPFMOM Index,extremely similar,parity run pending (Bloomberg input lane in cz_struct),N_food_l12 CZCPFMOM Index: extremely similar,max gap 0.1051881993896166
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,food block,agri_l0,CZSO farm-price product basket m/m,CZPPAMOM Index,different,parity run pending (Bloomberg input lane in cz_struct),N_agri_l0 CZPPAMOM Index: different,max gap 7.193083325810015
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,food block,agri_l1,"CZSO farm-price product basket m/m, lag 1",CZPPAMOM Index,different,parity run pending (Bloomberg input lane in cz_struct),N_agri_l1 CZPPAMOM Index: different,max gap 7.193083325810015
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,food block,food_ppi_l1,"CZSO food-products PPI m/m (CEN0201B division 10), lag 1",CZPPA10M Index,extremely similar,parity run pending (Bloomberg input lane in cz_struct),N_food_ppi_l1 CZPPA10M Index: extremely similar; X29 CZPPA10M Index: extremely similar; N_food_ppi_l1_eurostat EPT010CZ Index: different,max gap 0.10039840637450209
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,fuel block,weekly Natural 95 price,CZSO CENPHMT Monday survey (fixture fuel_weekly.petrol95),ECOBETCZ Index,extremely similar,switchable: see T9,X134 ECOBETCZ Index: extremely similar,max gap 0.4809999999999945
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,fuel block,weekly diesel price,CZSO CENPHMT Monday survey (fixture fuel_weekly.diesel),ECOBOTCZ Index,similar,switchable: see T9,X136 ECOBOTCZ Index: similar,max gap 1.0960000000000036
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,fuel block,petrol share,cz_struct official petrol share,,static,static,—,
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,administered block,January announcement ledger,data/admin_announcements_history.csv,,static,static,—,
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,administered block,energy item weights,cz_struct._ENERGY_ITEM_WEIGHTS (CZSO basket),,static,static,—,
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,weights,basket anchors,CZSO basket weights in cz_struct,,static,static,—,
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,clock,release calendar,data/release_calendar_cz_cpi.csv,,static,static,—,
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,"past-error correction (HALF, FULL)",historical core ridge errors,data/exact_historical_core_errors.csv plus sequential ridge errors,,from another model,parity run pending (Bloomberg input lane in cz_struct),—,
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,"past-error correction (HALF, FULL)",error state: extended headline m/m,"FRED CZECPIALLMINMEI to 2014, CZSO from 2015",CZCIPM Index,similar,parity run pending (Bloomberg input lane in cz_struct),N_ext_mm CZCIPM Index: similar,max gap 0.1314994606256617
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,"past-error correction (HALF, FULL)",error state: trailing y/y,compounded extended headline m/m,CZCIPY Index,similar,parity run pending (Bloomberg input lane in cz_struct),N_trailing_czcipy CZCIPY Index: similar; N_trailing_czcpyoy CZCPYOY Index: similar,max gap 1.2912042433743949
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,fixture columns dropped by HARD and SENTIMENT,"exp12, exp36, exp12_x_state",CNB FMIE 12m and 36m mean,,no Bloomberg series held,stays,—,
nowcast,Nowcast HARD_BASE / HARD_HALF / HARD_FULL,operating,fixture columns dropped by HARD and SENTIMENT,household_exp,"EC consumer price expectations, CZ",EUA8CZ Index,exact,identical,X45 EUA8CZ Index: exact,max gap 0.0
nowcast,Nowcast SENTIMENT_BASE / HALF / FULL,legacy comparison,all blocks,every HARD input,same frozen fixture,,from another model,parity run pending (Bloomberg input lane in cz_struct),—,
nowcast,Nowcast SENTIMENT_BASE / HALF / FULL,legacy comparison,core ridge,esi,fixture core_features.esi,EUESCZ Index,similar,parity run pending (Bloomberg input lane in cz_struct),X48 EUESCZ Index: similar,max gap 0.2999999999999971
scoring,Scoring and benchmarks,evaluation,actuals,first print CPI m/m,data/czcpmom_survey_history_extended.csv actual,CZCIPM Index; CZCPMOM Index,exact,identical,N_score_actual_combined CZCIPM Index; CZCPMOM Index: exact,max gap 0.0
scoring,Scoring and benchmarks,evaluation,benchmark,consensus median and mean,same file: Bloomberg CZCPMOM survey fields,,Bloomberg already,parity run pending (Bloomberg input lane in cz_struct),—,
nowcast,Category Raw (CATEGORY_RAW),accuracy challenger,core (categories),"CZSO CPI category levels (CEN0101E groups, 2015+)",data/research_r18/categories (CZSO),CZSO division levels only (CZCP..); HICP classes for a few,partial,stays CZSO,"map document, CPI index levels section",
nowcast,"R30B January spirits steps (declared, prospective)",declared research,alcohol & tobacco,excise calendar,data/excise_calendar_cz_r30.csv (documents),none,documents,stays,—,
CNB lane,"CNB comparison, lead test, ledger, tracker",conditioned evaluation,CNB,Monetary Policy Report tables,cnb.cz spreadsheets (data/cnb_mpr_tables_20260917),none,not on Bloomberg,stays,—,
