edge,row,value,source_period,available_from,cutoff,source,transform,extra_shift_months
2005-05,65,,None,NaT,2005-07-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-06,65,,None,NaT,2005-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-07,65,,None,NaT,2005-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-08,65,,None,NaT,2005-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-09,65,,None,NaT,2005-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-10,65,,None,NaT,2005-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-11,65,,None,NaT,2006-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-12,65,,None,NaT,2006-02-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-01,65,,None,NaT,2006-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-02,65,,None,NaT,2006-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-03,65,,None,NaT,2006-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-04,65,,None,NaT,2006-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-05,65,,None,NaT,2006-07-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-06,65,,None,NaT,2006-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-07,65,,None,NaT,2006-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-08,65,,None,NaT,2006-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-09,65,,None,NaT,2006-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-10,65,,None,NaT,2006-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-11,65,,None,NaT,2007-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2006-12,65,,None,NaT,2007-02-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-01,65,,None,NaT,2007-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-02,65,,None,NaT,2007-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-03,65,,None,NaT,2007-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-04,65,,None,NaT,2007-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-05,65,,None,NaT,2007-07-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-06,65,,None,NaT,2007-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-07,65,,None,NaT,2007-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-08,65,,None,NaT,2007-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-09,65,,None,NaT,2007-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-10,65,,None,NaT,2007-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-11,65,,None,NaT,2008-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2007-12,65,,None,NaT,2008-02-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-01,65,,None,NaT,2008-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-02,65,,None,NaT,2008-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-03,65,,None,NaT,2008-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-04,65,,None,NaT,2008-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-05,65,,None,NaT,2008-07-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-06,65,,None,NaT,2008-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-07,65,,None,NaT,2008-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-08,65,,None,NaT,2008-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-09,65,,None,NaT,2008-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-10,65,,None,NaT,2008-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-11,65,,None,NaT,2009-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2008-12,65,,None,NaT,2009-02-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-01,65,,None,NaT,2009-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-02,65,,None,NaT,2009-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-03,65,,None,NaT,2009-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-04,65,,None,NaT,2009-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-05,65,,None,NaT,2009-07-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-06,65,,None,NaT,2009-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-07,65,,None,NaT,2009-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-08,65,,None,NaT,2009-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-09,65,,None,NaT,2009-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-10,65,,None,NaT,2009-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-11,65,,None,NaT,2010-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2009-12,65,,None,NaT,2010-02-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-01,65,,None,NaT,2010-03-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-02,65,,None,NaT,2010-04-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-03,65,,None,NaT,2010-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-04,65,,None,NaT,2010-06-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-05,65,,None,NaT,2010-07-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-06,65,,None,NaT,2010-08-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-07,65,,None,NaT,2010-09-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-08,65,,None,NaT,2010-10-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-09,65,,None,NaT,2010-11-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-10,65,,None,NaT,2010-12-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-11,65,,None,NaT,2011-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2010-12,65,,None,NaT,2011-02-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-01,65,,None,NaT,2011-03-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-02,65,,None,NaT,2011-04-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-03,65,,None,NaT,2011-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-04,65,,None,NaT,2011-06-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-05,65,,None,NaT,2011-07-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-06,65,,None,NaT,2011-08-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-07,65,,None,NaT,2011-09-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-08,65,,None,NaT,2011-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-09,65,,None,NaT,2011-11-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-10,65,,None,NaT,2011-12-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-11,65,,None,NaT,2012-01-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2011-12,65,,None,NaT,2012-02-15 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-01,65,,None,NaT,2012-03-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-02,65,,None,NaT,2012-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-03,65,,None,NaT,2012-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-04,65,,None,NaT,2012-06-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-05,65,,None,NaT,2012-07-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-06,65,,None,NaT,2012-08-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-07,65,,None,NaT,2012-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-08,65,,None,NaT,2012-10-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-09,65,,None,NaT,2012-11-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-10,65,,None,NaT,2012-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-11,65,,None,NaT,2013-01-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2012-12,65,,None,NaT,2013-02-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-01,65,,None,NaT,2013-03-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-02,65,,None,NaT,2013-04-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-03,65,26.52028571428572,2013-04,2013-05-01 00:00:00,2013-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-04,65,26.36236363636364,2013-05,2013-06-01 00:00:00,2013-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-05,65,26.4248,2013-06,2013-07-01 00:00:00,2013-07-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-06,65,26.43356521739131,2013-07,2013-08-01 00:00:00,2013-08-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-07,65,26.29618181818181,2013-08,2013-09-01 00:00:00,2013-09-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-08,65,26.57723809523809,2013-09,2013-10-01 00:00:00,2013-10-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-09,65,26.27821739130435,2013-10,2013-11-01 00:00:00,2013-11-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-10,65,26.7684761904762,2013-11,2013-12-01 00:00:00,2013-12-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-11,65,27.15836363636364,2013-12,2014-01-01 00:00:00,2014-01-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2013-12,65,26.05409090909092,2014-01,2014-02-01 00:00:00,2014-02-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-01,65,25.47,2014-02,2014-03-01 00:00:00,2014-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-02,65,24.94,2014-03,2014-04-01 00:00:00,2014-04-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-03,65,24.38218181818182,2014-04,2014-05-01 00:00:00,2014-05-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-04,65,24.43527272727272,2014-05,2014-06-01 00:00:00,2014-06-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-05,65,24.20452380952381,2014-06,2014-07-01 00:00:00,2014-07-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-06,65,23.98952173913043,2014-07,2014-08-01 00:00:00,2014-08-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-07,65,24.632380952380952,2014-08,2014-09-01 00:00:00,2014-09-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-08,65,24.704636363636368,2014-09,2014-10-01 00:00:00,2014-10-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-09,65,23.668086956521737,2014-10,2014-11-01 00:00:00,2014-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-10,65,23.23975,2014-11,2014-12-01 00:00:00,2014-12-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-11,65,22.29473913043478,2014-12,2015-01-01 00:00:00,2015-01-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2014-12,65,20.163904761904764,2015-01,2015-02-01 00:00:00,2015-02-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-01,65,22.16295,2015-02,2015-03-01 00:00:00,2015-03-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-02,65,21.72422727272728,2015-03,2015-04-01 00:00:00,2015-04-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-03,65,21.7575,2015-04,2015-05-01 00:00:00,2015-05-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-04,65,21.550000000000004,2015-05,2015-06-01 00:00:00,2015-06-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-05,65,21.395545454545456,2015-06,2015-07-01 00:00:00,2015-07-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-06,65,21.06708695652173,2015-07,2015-08-01 00:00:00,2015-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-07,65,19.810714285714287,2015-08,2015-09-01 00:00:00,2015-09-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-08,65,19.267,2015-09,2015-10-01 00:00:00,2015-10-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-09,65,18.35909090909091,2015-10,2015-11-01 00:00:00,2015-11-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-10,65,17.501714285714286,2015-11,2015-12-01 00:00:00,2015-12-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-11,65,16.009608695652176,2015-12,2016-01-01 00:00:00,2016-01-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2015-12,65,14.515899999999997,2016-01,2016-02-01 00:00:00,2016-02-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-01,65,13.901428571428571,2016-02,2016-03-01 00:00:00,2016-03-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-02,65,13.646434782608695,2016-03,2016-04-01 00:00:00,2016-04-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-03,65,13.879047619047618,2016-04,2016-05-01 00:00:00,2016-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-04,65,14.941363636363636,2016-05,2016-06-01 00:00:00,2016-06-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-05,65,16.395000000000003,2016-06,2016-07-01 00:00:00,2016-07-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-06,65,16.69595238095238,2016-07,2016-08-01 00:00:00,2016-08-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-07,65,15.493999999999998,2016-08,2016-09-01 00:00:00,2016-09-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-08,65,14.99981818181818,2016-09,2016-10-01 00:00:00,2016-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-09,65,16.32452380952381,2016-10,2016-11-01 00:00:00,2016-11-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-10,65,16.89822727272727,2016-11,2016-12-01 00:00:00,2016-12-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-11,65,17.097136363636363,2016-12,2017-01-01 00:00:00,2017-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2016-12,65,17.968285714285713,2017-01,2017-02-01 00:00:00,2017-02-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-01,65,17.754450000000002,2017-02,2017-03-01 00:00:00,2017-03-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-02,65,16.50426086956522,2017-03,2017-04-01 00:00:00,2017-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-03,65,16.714150000000004,2017-04,2017-05-01 00:00:00,2017-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-04,65,16.431478260869568,2017-05,2017-06-01 00:00:00,2017-06-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-05,65,15.983772727272726,2017-06,2017-07-01 00:00:00,2017-07-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-06,65,15.92319047619048,2017-07,2017-08-01 00:00:00,2017-08-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-07,65,16.20004347826087,2017-08,2017-09-01 00:00:00,2017-09-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-08,65,16.967714285714287,2017-09,2017-10-01 00:00:00,2017-10-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-09,65,17.194090909090907,2017-10,2017-11-01 00:00:00,2017-11-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-10,65,18.13159090909091,2017-11,2017-12-01 00:00:00,2017-12-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-11,65,18.48123809523809,2017-12,2018-01-01 00:00:00,2018-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2017-12,65,17.536681818181815,2018-01,2018-02-01 00:00:00,2018-02-13 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-01,65,16.715500000000002,2018-02,2018-03-01 00:00:00,2018-03-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-02,65,17.015954545454544,2018-03,2018-04-01 00:00:00,2018-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-03,65,18.065238095238094,2018-04,2018-05-01 00:00:00,2018-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-04,65,20.24604347826087,2018-05,2018-06-01 00:00:00,2018-06-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-05,65,20.165761904761904,2018-06,2018-07-01 00:00:00,2018-07-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-06,65,20.899318181818185,2018-07,2018-08-01 00:00:00,2018-08-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-07,65,22.094086956521743,2018-08,2018-09-01 00:00:00,2018-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-08,65,25.1715,2018-09,2018-10-01 00:00:00,2018-10-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-09,65,24.72295652173913,2018-10,2018-11-01 00:00:00,2018-11-08 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-10,65,22.969818181818184,2018-11,2018-12-01 00:00:00,2018-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-11,65,22.53895238095238,2018-12,2019-01-01 00:00:00,2019-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2018-12,65,20.47122727272727,2019-01,2019-02-01 00:00:00,2019-02-12 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-01,65,19.9567,2019-02,2019-03-01 00:00:00,2019-03-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-02,65,18.805904761904763,2019-03,2019-04-01 00:00:00,2019-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-03,65,19.742363636363635,2019-04,2019-05-01 00:00:00,2019-05-12 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-04,65,19.074217391304344,2019-05,2019-06-01 00:00:00,2019-06-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-05,65,18.18475,2019-06,2019-07-01 00:00:00,2019-07-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-06,65,18.42817391304348,2019-07,2019-08-01 00:00:00,2019-08-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-07,65,17.41863636363636,2019-08,2019-09-01 00:00:00,2019-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-08,65,17.856333333333332,2019-09,2019-10-01 00:00:00,2019-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-09,65,17.30073913043478,2019-10,2019-11-01 00:00:00,2019-11-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-10,65,16.368238095238095,2019-11,2019-12-01 00:00:00,2019-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-11,65,14.452363636363636,2019-12,2020-01-01 00:00:00,2020-01-12 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2019-12,65,15.618130434782609,2020-01,2020-02-01 00:00:00,2020-02-13 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-01,65,14.50245,2020-02,2020-03-01 00:00:00,2020-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-02,65,12.859272727272725,2020-03,2020-04-01 00:00:00,2020-04-13 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-03,65,12.621227272727277,2020-04,2020-05-01 00:00:00,2020-05-12 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-04,65,12.183333333333334,2020-05,2020-06-01 00:00:00,2020-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-05,65,12.22468181818182,2020-06,2020-07-01 00:00:00,2020-07-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-06,65,12.535608695652174,2020-07,2020-08-01 00:00:00,2020-08-12 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-07,65,12.991857142857144,2020-08,2020-09-01 00:00:00,2020-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-08,65,13.546636363636363,2020-09,2020-10-01 00:00:00,2020-10-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-09,65,13.958545454545456,2020-10,2020-11-01 00:00:00,2020-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-10,65,13.631428571428568,2020-11,2020-12-01 00:00:00,2020-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-11,65,15.25721739130435,2020-12,2021-01-01 00:00:00,2021-01-12 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2020-12,65,16.398523809523805,2021-01,2021-02-01 00:00:00,2021-02-11 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2021-01,65,16.801700000000004,2021-02,2021-03-01 00:00:00,2021-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2021-02,65,17.532000000000004,2021-03,2021-04-01 00:00:00,2021-04-12 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2021-03,65,18.462772727272725,2021-04,2021-05-01 00:00:00,2021-05-10 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2021-04,65,21.12685714285714,2021-05,2021-06-01 00:00:00,2021-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2021-05,65,22.60372727272728,2021-06,2021-07-01 00:00:00,2021-07-12 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2021-06,65,25.71336363636365,2021-07,2021-08-01 00:00:00,2021-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2021-07,65,31.127954545454543,2021-08,2021-09-01 00:00:00,2021-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
