column,coicop2018_code,label_cs,level,sector,primary_measurement,scope_note,first_month,last_month,observations,index_base,seasonal_adjustment,geography,households,tax_adjustment,cnb_core_membership,classification_vintage,available_from_rule,available_from_kind,source_dataset,source_url,source_raw_sha256,available_from
household_energy,045,"Elektřina, plyn a ostatní paliva",group,energy,False,"Electricity, gas and other fuels.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
furniture,051,Nábytek a zařízení domácnosti,group,mixed_goods_services,False,"Includes repair, installation and rental; goods-dominant.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
household_textiles,052,Bytový textil,group,goods,True,Household textiles.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
household_appliances,053,Domácí spotřebiče,group,mixed_goods_services,False,"Includes repair, installation and rental; goods-dominant.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
tableware_utensils,054,"Skleněné, stolní a kuchyňské potřeby pro domácnost",group,goods,True,"Glassware, tableware and household utensils.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
house_garden_tools,055,"Nářadí, nástroje a vybavení pro dům a zahradu",group,goods,True,Tools and equipment for house and garden.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
household_goods_services,056,Zboží a služby pro domácnost,group,mixed_goods_services,False,Household consumables plus domestic/household services.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
vehicle_purchases,071,Nákup osobních dopravních prostředků,group,goods,True,"Purchase of cars, motorcycles and bicycles.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
vehicle_operation,072,Provoz osobních dopravních prostředků,group,mixed_energy_goods_services,False,"Fuel, parts, repair and other operation services; no fuel subtraction.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
passenger_transport,073,Osobní doprava,group,regulated_exposure,False,Service aggregate with regulated public-transport exposure.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
transport_postal_services,074,Přepravní a poštovní služby,group,regulated_exposure,False,Postal and other transport services; regulated-price exposure possible.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
ict_equipment,081,Informační a telekomunikační zařízení a příslušenství,group,goods,True,Information/communication equipment; reclassified from old 08/09 components.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
ict_services,083,Informační a telekomunikační služby,group,services,True,"Telecom/internet, equipment repairs/rental and other ICT services including broadcasting.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
recreation_durables,091,Zboží dlouhodobé spotřeby pro rekreaci,group,goods,True,Current basket: photographic/cinematographic/optical equipment; not old broad 091.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
other_recreation_goods,092,Jiné zboží pro rekreaci,group,goods,True,Games/toys/hobby and sport/camping/outdoor equipment.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
garden_pets_goods,093,"Výrobky pro zahradu, rostliny a domácí zvířata",group,goods,True,"Garden goods, plants, pets and pet products; veterinary services are 094.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
recreation_services,094,Rekreační služby,group,services,True,"Includes equipment rental/repair, veterinary, recreation/sport and gambling services.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
musical_instruments_media,095,Hudební nástroje a záznamová média s audiovizuálním obsahem,group,goods,True,Musical instruments and recorded audiovisual media.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
cultural_services,096,Kulturní služby,group,services,True,"Cinema/theatre/concerts, cultural institutions and photography services; old 096 was holidays.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
books_stationery,097,"Noviny, knihy a papírnické zboží",group,goods,True,"Books, newspapers/periodicals, other printed matter and stationery.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
package_holidays,098,Organizovaná dovolená a zájezdy,group,services,True,Organised holidays/tours; historical basket 096 through 2024.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
catering,111,Stravovací služby,group,services,True,"Includes restaurants, canteens and school canteens.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
accommodation,112,Ubytovací služby,group,services,True,"Includes hotels, recreation accommodation and student dormitories.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
health,06,Zdraví,division,mixed_goods_services,False,Division aggregate; pharmaceuticals/equipment and health services.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
education,10,Vzdělávání,division,regulated_exposure,False,Division aggregate; public/regulated exposure possible.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
insurance_financial_services,12,Pojištění a finanční služby,division,mixed_scope_services,False,Division aggregate; financial/insurance service measurement differs from ordinary unit prices.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
personal_social_misc,13,"Osobní a sociální péče, různé zboží a služby",division,mixed_goods_services,False,Division aggregate of personal/social care and miscellaneous goods/services.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
