period,agri4,food_ppi,food
2017-01,2017-02-26T00:00:00+01:00,2017-02-25T00:00:00+01:00,2017-02-10T09:00:00+01:00
2017-02,2017-03-26T00:00:00+01:00,2017-03-16T00:00:00+01:00,2017-03-09T09:00:00+01:00
2017-03,2017-04-26T00:00:00+02:00,2017-04-20T00:00:00+02:00,2017-04-10T09:00:00+02:00
2017-04,2017-05-26T00:00:00+02:00,2017-05-20T00:00:00+02:00,2017-05-10T09:00:00+02:00
2017-05,2017-06-26T00:00:00+02:00,2017-06-16T00:00:00+02:00,2017-06-09T09:00:00+02:00
2017-06,2017-07-26T00:00:00+02:00,2017-07-17T00:00:00+02:00,2017-07-12T09:00:00+02:00
2017-07,2017-08-26T00:00:00+02:00,2017-08-16T00:00:00+02:00,2017-08-09T09:00:00+02:00
2017-08,2017-09-26T00:00:00+02:00,2017-09-16T00:00:00+02:00,2017-09-11T09:00:00+02:00
2017-09,2017-10-26T00:00:00+02:00,2017-10-16T00:00:00+02:00,2017-10-09T09:00:00+02:00
2017-10,2017-11-26T00:00:00+01:00,2017-11-16T00:00:00+01:00,2017-11-09T09:00:00+01:00
2017-11,2017-12-26T00:00:00+01:00,2017-12-16T00:00:00+01:00,2017-12-11T09:00:00+01:00
2017-12,2018-01-26T00:00:00+01:00,2018-01-17T00:00:00+01:00,2018-01-10T09:00:00+01:00
2018-01,2018-02-26T00:00:00+01:00,2018-02-25T00:00:00+01:00,2018-02-14T09:00:00+01:00
2018-02,2018-03-26T00:00:00+02:00,2018-03-16T00:00:00+01:00,2018-03-09T09:00:00+01:00
2018-03,2018-04-26T00:00:00+02:00,2018-04-20T00:00:00+02:00,2018-04-10T09:00:00+02:00
2018-04,2018-05-26T00:00:00+02:00,2018-05-20T00:00:00+02:00,2018-05-10T09:00:00+02:00
2018-05,2018-06-26T00:00:00+02:00,2018-06-16T00:00:00+02:00,2018-06-11T09:00:00+02:00
2018-06,2018-07-26T00:00:00+02:00,2018-07-17T00:00:00+02:00,2018-07-11T09:00:00+02:00
2018-07,2018-08-26T00:00:00+02:00,2018-08-16T00:00:00+02:00,2018-08-09T09:00:00+02:00
2018-08,2018-09-26T00:00:00+02:00,2018-09-16T00:00:00+02:00,2018-09-10T09:00:00+02:00
2018-09,2018-10-26T00:00:00+02:00,2018-10-16T00:00:00+02:00,2018-10-09T09:00:00+02:00
2018-10,2018-11-26T00:00:00+01:00,2018-11-16T00:00:00+01:00,2018-11-09T09:00:00+01:00
2018-11,2018-12-26T00:00:00+01:00,2018-12-16T00:00:00+01:00,2018-12-10T09:00:00+01:00
2018-12,2019-01-26T00:00:00+01:00,2019-01-17T00:00:00+01:00,2019-01-10T09:00:00+01:00
2019-01,2019-02-26T00:00:00+01:00,2019-02-25T00:00:00+01:00,2019-02-13T09:00:00+01:00
2019-02,2019-03-26T00:00:00+01:00,2019-03-16T00:00:00+01:00,2019-03-11T09:00:00+01:00
2019-03,2019-04-26T00:00:00+02:00,2019-04-20T00:00:00+02:00,2019-04-10T09:00:00+02:00
2019-04,2019-05-26T00:00:00+02:00,2019-05-20T00:00:00+02:00,2019-05-13T09:00:00+02:00
2019-05,2019-06-26T00:00:00+02:00,2019-06-16T00:00:00+02:00,2019-06-11T09:00:00+02:00
2019-06,2019-07-26T00:00:00+02:00,2019-07-17T00:00:00+02:00,2019-07-11T09:00:00+02:00
2019-07,2019-08-26T00:00:00+02:00,2019-08-16T00:00:00+02:00,2019-08-12T09:00:00+02:00
2019-08,2019-09-26T00:00:00+02:00,2019-09-16T00:00:00+02:00,2019-09-10T09:00:00+02:00
2019-09,2019-10-26T00:00:00+02:00,2019-10-16T00:00:00+02:00,2019-10-10T09:00:00+02:00
2019-10,2019-11-26T00:00:00+01:00,2019-11-16T00:00:00+01:00,2019-11-11T09:00:00+01:00
2019-11,2019-12-26T00:00:00+01:00,2019-12-16T00:00:00+01:00,2019-12-10T09:00:00+01:00
2019-12,2020-01-26T00:00:00+01:00,2020-01-17T00:00:00+01:00,2020-01-13T09:00:00+01:00
2020-01,2020-02-26T00:00:00+01:00,2020-02-25T00:00:00+01:00,2020-02-14T09:00:00+01:00
2020-02,2020-03-26T00:00:00+01:00,2020-03-16T00:00:00+01:00,2020-03-10T09:00:00+01:00
2020-03,2020-04-26T00:00:00+02:00,2020-04-20T00:00:00+02:00,2020-04-14T09:00:00+02:00
2020-04,2020-05-26T00:00:00+02:00,2020-05-20T00:00:00+02:00,2020-05-13T09:00:00+02:00
2020-05,2020-06-26T00:00:00+02:00,2020-06-16T00:00:00+02:00,2020-06-10T09:00:00+02:00
2020-06,2020-07-26T00:00:00+02:00,2020-07-17T00:00:00+02:00,2020-07-10T09:00:00+02:00
2020-07,2020-08-26T00:00:00+02:00,2020-08-16T00:00:00+02:00,2020-08-13T09:00:00+02:00
2020-08,2020-09-26T00:00:00+02:00,2020-09-16T00:00:00+02:00,2020-09-10T09:00:00+02:00
2020-09,2020-10-26T00:00:00+01:00,2020-10-16T00:00:00+02:00,2020-10-12T09:00:00+02:00
2020-10,2020-11-26T00:00:00+01:00,2020-11-16T00:00:00+01:00,2020-11-10T09:00:00+01:00
2020-11,2020-12-26T00:00:00+01:00,2020-12-16T00:00:00+01:00,2020-12-10T09:00:00+01:00
2020-12,2021-01-26T00:00:00+01:00,2021-01-17T00:00:00+01:00,2021-01-13T09:00:00+01:00
2021-01,2021-02-26T00:00:00+01:00,2021-02-25T00:00:00+01:00,2021-02-12T09:00:00+01:00
2021-02,2021-03-26T00:00:00+01:00,2021-03-16T00:00:00+01:00,2021-03-10T09:00:00+01:00
2021-03,2021-04-26T00:00:00+02:00,2021-04-20T00:00:00+02:00,2021-04-13T09:00:00+02:00
2021-04,2021-05-26T00:00:00+02:00,2021-05-20T00:00:00+02:00,2021-05-11T09:00:00+02:00
2021-05,2021-06-26T00:00:00+02:00,2021-06-16T00:00:00+02:00,2021-06-10T09:00:00+02:00
2021-06,2021-07-26T00:00:00+02:00,2021-07-17T00:00:00+02:00,2021-07-13T09:00:00+02:00
2021-07,2021-08-26T00:00:00+02:00,2021-08-16T00:00:00+02:00,2021-08-10T09:00:00+02:00
2021-08,2021-09-26T00:00:00+02:00,2021-09-16T00:00:00+02:00,2021-09-10T09:00:00+02:00
2021-09,2021-10-26T00:00:00+02:00,2021-10-16T00:00:00+02:00,2021-10-11T09:00:00+02:00
2021-10,2021-11-26T00:00:00+01:00,2021-11-16T00:00:00+01:00,2021-11-10T09:00:00+01:00
2021-11,2021-12-26T00:00:00+01:00,2021-12-16T00:00:00+01:00,2021-12-10T09:00:00+01:00
2021-12,2022-01-26T00:00:00+01:00,2022-01-17T00:00:00+01:00,2022-01-12T09:00:00+01:00
2022-01,2022-02-26T00:00:00+01:00,2022-02-25T00:00:00+01:00,2022-02-14T09:00:00+01:00
2022-02,2022-03-26T00:00:00+01:00,2022-03-16T00:00:00+01:00,2022-03-10T09:00:00+01:00
2022-03,2022-04-26T00:00:00+02:00,2022-04-20T00:00:00+02:00,2022-04-11T09:00:00+02:00
2022-04,2022-05-26T00:00:00+02:00,2022-05-20T00:00:00+02:00,2022-05-10T09:00:00+02:00
2022-05,2022-06-26T00:00:00+02:00,2022-06-16T00:00:00+02:00,2022-06-10T09:00:00+02:00
2022-06,2022-07-26T00:00:00+02:00,2022-07-17T00:00:00+02:00,2022-07-13T09:00:00+02:00
2022-07,2022-08-26T00:00:00+02:00,2022-08-16T00:00:00+02:00,2022-08-10T09:00:00+02:00
2022-08,2022-09-26T00:00:00+02:00,2022-09-16T00:00:00+02:00,2022-09-12T09:00:00+02:00
2022-09,2022-10-26T00:00:00+02:00,2022-10-16T00:00:00+02:00,2022-10-11T09:00:00+02:00
2022-10,2022-11-26T00:00:00+01:00,2022-11-16T00:00:00+01:00,2022-11-10T09:00:00+01:00
2022-11,2022-12-26T00:00:00+01:00,2022-12-16T00:00:00+01:00,2022-12-12T09:00:00+01:00
2022-12,2023-01-26T00:00:00+01:00,2023-01-17T00:00:00+01:00,2023-01-11T09:00:00+01:00
2023-01,2023-02-26T00:00:00+01:00,2023-02-25T00:00:00+01:00,2023-02-10T09:00:00+01:00
2023-02,2023-03-26T00:00:00+01:00,2023-03-16T00:00:00+01:00,2023-03-10T09:00:00+01:00
2023-03,2023-04-26T00:00:00+02:00,2023-04-20T00:00:00+02:00,2023-04-13T09:00:00+02:00
2023-04,2023-05-26T00:00:00+02:00,2023-05-20T00:00:00+02:00,2023-05-11T09:00:00+02:00
2023-05,2023-06-26T00:00:00+02:00,2023-06-16T00:00:00+02:00,2023-06-12T09:00:00+02:00
2023-06,2023-07-26T00:00:00+02:00,2023-07-17T00:00:00+02:00,2023-07-13T09:00:00+02:00
2023-07,2023-08-26T00:00:00+02:00,2023-08-16T00:00:00+02:00,2023-08-10T09:00:00+02:00
2023-08,2023-09-26T00:00:00+02:00,2023-09-16T00:00:00+02:00,2023-09-11T09:00:00+02:00
2023-09,2023-10-26T00:00:00+02:00,2023-10-16T00:00:00+02:00,2023-10-10T09:00:00+02:00
2023-10,2023-11-26T00:00:00+01:00,2023-11-16T00:00:00+01:00,2023-11-10T09:00:00+01:00
2023-11,2023-12-26T00:00:00+01:00,2023-12-16T00:00:00+01:00,2023-12-11T09:00:00+01:00
2023-12,2024-01-26T00:00:00+01:00,2024-01-17T00:00:00+01:00,2024-01-11T09:00:00+01:00
2024-01,2024-02-26T00:00:00+01:00,2024-02-25T00:00:00+01:00,2024-02-15T09:00:00+01:00
2024-02,2024-03-26T00:00:00+01:00,2024-03-16T00:00:00+01:00,2024-03-11T09:00:00+01:00
2024-03,2024-04-26T00:00:00+02:00,2024-04-20T00:00:00+02:00,2024-04-10T09:00:00+02:00
2024-04,2024-05-26T00:00:00+02:00,2024-05-20T00:00:00+02:00,2024-05-13T09:00:00+02:00
2024-05,2024-06-26T00:00:00+02:00,2024-06-16T00:00:00+02:00,2024-06-11T09:00:00+02:00
2024-06,2024-07-26T00:00:00+02:00,2024-07-17T00:00:00+02:00,2024-07-10T09:00:00+02:00
2024-07,2024-08-26T00:00:00+02:00,2024-08-16T00:00:00+02:00,2024-08-12T09:00:00+02:00
2024-08,2024-09-26T00:00:00+02:00,2024-09-16T00:00:00+02:00,2024-09-10T09:00:00+02:00
2024-09,2024-10-26T00:00:00+02:00,2024-10-16T00:00:00+02:00,2024-10-10T09:00:00+02:00
2024-10,2024-11-26T00:00:00+01:00,2024-11-16T00:00:00+01:00,2024-11-11T09:00:00+01:00
2024-11,2024-12-26T00:00:00+01:00,2024-12-16T00:00:00+01:00,2024-12-10T09:00:00+01:00
2024-12,2025-01-26T00:00:00+01:00,2025-01-17T00:00:00+01:00,2025-01-13T09:00:00+01:00
2025-01,2025-02-26T00:00:00+01:00,2025-02-25T00:00:00+01:00,2025-02-12T09:00:00+01:00
2025-02,2025-03-26T00:00:00+01:00,2025-03-16T00:00:00+01:00,2025-03-11T09:00:00+01:00
2025-03,2025-04-26T00:00:00+02:00,2025-04-20T00:00:00+02:00,2025-04-10T09:00:00+02:00
2025-04,2025-05-26T00:00:00+02:00,2025-05-20T00:00:00+02:00,2025-05-13T09:00:00+02:00
2025-05,2025-06-26T00:00:00+02:00,2025-06-16T00:00:00+02:00,2025-06-10T09:00:00+02:00
2025-06,2025-07-26T00:00:00+02:00,2025-07-17T00:00:00+02:00,2025-07-10T09:00:00+02:00
2025-07,2025-08-26T00:00:00+02:00,2025-08-16T00:00:00+02:00,2025-08-08T09:00:00+02:00
2025-08,2025-09-26T00:00:00+02:00,2025-09-16T00:00:00+02:00,2025-09-10T09:00:00+02:00
2025-09,2025-10-26T00:00:00+02:00,2025-10-16T00:00:00+02:00,2025-10-10T09:00:00+02:00
2025-10,2025-11-26T00:00:00+01:00,2025-11-16T00:00:00+01:00,2025-11-11T09:00:00+01:00
2025-11,2025-12-26T00:00:00+01:00,2025-12-16T00:00:00+01:00,2025-12-10T09:00:00+01:00
2025-12,2026-01-26T00:00:00+01:00,2026-01-17T00:00:00+01:00,2026-01-13T09:00:00+01:00
2026-01,2026-02-26T00:00:00+01:00,2026-02-25T00:00:00+01:00,2026-02-13T09:00:00+01:00
2026-02,2026-03-26T00:00:00+01:00,2026-03-16T00:00:00+01:00,2026-03-10T09:00:00+01:00
2026-03,2026-04-26T00:00:00+02:00,2026-04-20T00:00:00+02:00,2026-04-14T09:00:00+02:00
2026-04,2026-05-26T00:00:00+02:00,2026-05-20T00:00:00+02:00,2026-05-13T09:00:00+02:00
2026-05,2026-06-26T00:00:00+02:00,2026-06-16T00:00:00+02:00,2026-06-10T09:00:00+02:00
2026-06,2026-07-26T00:00:00+02:00,2026-07-17T00:00:00+02:00,2026-07-10T09:00:00+02:00
2026-07,2026-08-26T00:00:00+02:00,2026-08-16T00:00:00+02:00,2026-08-11T09:00:00+02:00
